col	role
ENSG00000019505	predictor
ENSG00000019549	predictor
ENSG00000019582	predictor
ENSG00000019991	predictor
ENSG00000019995	predictor
ENSG00000020129	predictor
ENSG00000020181	predictor
ENSG00000020256	predictor
ENSG00000020426	predictor
ENSG00000020577	predictor
ENSG00000020633	predictor
ENSG00000020922	predictor
ENSG00000021300	predictor
ENSG00000021355	predictor
ENSG00000021461	predictor
ENSG00000021488	predictor
ENSG00000021574	predictor
ENSG00000021645	predictor
ENSG00000021762	predictor
ENSG00000021776	predictor
ENSG00000021826	predictor
ENSG00000022267	predictor
ENSG00000022277	predictor
ENSG00000022355	predictor
ENSG00000022556	predictor
ENSG00000022567	predictor
ENSG00000022840	predictor
ENSG00000022976	predictor
ENSG00000023041	predictor
ENSG00000023171	predictor
ENSG00000023191	predictor
ENSG00000023228	predictor
ENSG00000023287	predictor
ENSG00000023318	predictor
ENSG00000023330	predictor
ENSG00000023445	predictor
ENSG00000023516	predictor
ENSG00000023572	predictor
ENSG00000023608	predictor
ENSG00000023697	predictor
ENSG00000023734	predictor
ENSG00000023839	predictor
ENSG00000023892	predictor
ENSG00000023902	predictor
ENSG00000023909	predictor
ENSG00000024048	predictor
ENSG00000024422	predictor
ENSG00000024526	predictor
ENSG00000024862	predictor
ENSG00000025039	predictor
ENSG00000025156	predictor
ENSG00000025293	predictor
ENSG00000025434	predictor
ENSG00000025708	predictor
ENSG00000025770	predictor
ENSG00000025772	predictor
ENSG00000025796	predictor
ENSG00000025800	predictor
ENSG00000026025	predictor
ENSG00000026036	predictor
ENSG00000026103	predictor
ENSG00000026297	predictor
ENSG00000026508	predictor
ENSG00000026559	predictor
ENSG00000026652	predictor
ENSG00000026751	predictor
ENSG00000026950	predictor
ENSG00000027001	predictor
ENSG00000027075	predictor
ENSG00000027697	predictor
ENSG00000027847	predictor
ENSG00000027869	predictor
ENSG00000028116	predictor
ENSG00000028137	predictor
ENSG00000028203	predictor
ENSG00000028277	predictor
ENSG00000028310	predictor
ENSG00000028528	predictor
ENSG00000028839	predictor
ENSG00000029153	predictor
ENSG00000029363	predictor
ENSG00000029364	predictor
ENSG00000029534	predictor
ENSG00000029639	predictor
ENSG00000029725	predictor
ENSG00000029993	predictor
ENSG00000030066	predictor
ENSG00000030110	predictor
ENSG00000030304	predictor
ENSG00000030419	predictor
ENSG00000030582	predictor
ENSG00000031003	predictor
ENSG00000031081	predictor
ENSG00000031691	predictor
ENSG00000031698	predictor
ENSG00000031823	predictor
ENSG00000032219	predictor
ENSG00000032389	predictor
ENSG00000032444	predictor
ENSG00000032742	predictor
ENSG00000033011	predictor
ENSG00000033030	predictor
ENSG00000033050	predictor
ENSG00000033100	predictor
ENSG00000033122	predictor
ENSG00000033170	predictor
ENSG00000033178	predictor
ENSG00000033327	predictor
ENSG00000033627	predictor
ENSG00000033800	predictor
ENSG00000033867	predictor
ENSG00000034053	predictor
ENSG00000034152	predictor
ENSG00000034239	predictor
ENSG00000034510	predictor
ENSG00000034533	predictor
ENSG00000034677	predictor
ENSG00000034693	predictor
ENSG00000034713	predictor
ENSG00000035115	predictor
ENSG00000035141	predictor
ENSG00000035403	predictor
ENSG00000035499	predictor
ENSG00000035664	predictor
ENSG00000035681	predictor
ENSG00000035687	predictor
ENSG00000035720	predictor
ENSG00000035862	predictor
ENSG00000035928	predictor
ENSG00000036054	predictor
ENSG00000036257	predictor
ENSG00000036448	predictor
ENSG00000036530	predictor
ENSG00000036549	predictor
ENSG00000036565	predictor
ENSG00000036672	predictor
ENSG00000036828	predictor
ENSG00000037042	predictor
ENSG00000037241	predictor
ENSG00000037280	predictor
ENSG00000037474	predictor
ENSG00000037637	predictor
ENSG00000037749	predictor
ENSG00000037757	predictor
ENSG00000037897	predictor
ENSG00000038002	predictor
ENSG00000038210	predictor
ENSG00000038219	predictor
ENSG00000038274	predictor
ENSG00000038295	predictor
ENSG00000038358	predictor
ENSG00000038382	predictor
ENSG00000038427	predictor
ENSG00000038532	predictor
ENSG00000038945	predictor
ENSG00000039068	predictor
ENSG00000039123	predictor
ENSG00000039139	predictor
ENSG00000039319	predictor
ENSG00000039523	predictor
ENSG00000039560	predictor
ENSG00000039650	predictor
ENSG00000039987	predictor
ENSG00000040199	predictor
ENSG00000040275	predictor
ENSG00000040341	predictor
ENSG00000040487	predictor
ENSG00000040531	predictor
ENSG00000040633	predictor
ENSG00000040933	predictor
ENSG00000041353	predictor
ENSG00000041357	predictor
ENSG00000041515	predictor
ENSG00000041802	predictor
ENSG00000041880	predictor
ENSG00000041982	predictor
ENSG00000041988	predictor
ENSG00000042062	predictor
ENSG00000042088	predictor
ENSG00000042286	predictor
ENSG00000042304	predictor
ENSG00000042317	predictor
ENSG00000042429	predictor
ENSG00000042445	predictor
ENSG00000042493	predictor
ENSG00000042753	predictor
ENSG00000042781	predictor
ENSG00000042832	predictor
ENSG00000042980	predictor
ENSG00000043039	predictor
ENSG00000043093	predictor
ENSG00000043143	predictor
ENSG00000043462	predictor
ENSG00000043514	predictor
ENSG00000043591	predictor
ENSG00000044090	predictor
ENSG00000044115	predictor
ENSG00000044446	predictor
ENSG00000044459	predictor
ENSG00000044524	predictor
ENSG00000044574	predictor
ENSG00000046604	predictor
ENSG00000046647	predictor
ENSG00000046651	predictor
ENSG00000046653	predictor
ENSG00000046889	predictor
ENSG00000047056	predictor
ENSG00000047188	predictor
ENSG00000047230	predictor
ENSG00000047249	predictor
ENSG00000047315	predictor
ENSG00000047346	predictor
ENSG00000047365	predictor
ENSG00000047410	predictor
ENSG00000047457	predictor
ENSG00000047578	predictor
ENSG00000047579	predictor
ENSG00000047597	predictor
ENSG00000047617	predictor
ENSG00000047621	predictor
ENSG00000047634	predictor
ENSG00000047644	predictor
ENSG00000047648	predictor
ENSG00000047662	predictor
ENSG00000047849	predictor
ENSG00000047932	predictor
ENSG00000048028	predictor
ENSG00000048052	predictor
ENSG00000048140	predictor
ENSG00000048162	predictor
ENSG00000048342	predictor
ENSG00000048392	predictor
ENSG00000048405	predictor
ENSG00000048471	predictor
ENSG00000048540	predictor
ENSG00000048544	predictor
ENSG00000048649	predictor
ENSG00000048707	predictor
ENSG00000048740	predictor
ENSG00000048828	predictor
ENSG00000048991	predictor
ENSG00000049089	predictor
ENSG00000049130	predictor
ENSG00000049167	predictor
ENSG00000049192	predictor
ENSG00000049239	predictor
ENSG00000049245	predictor
ENSG00000049246	predictor
ENSG00000049249	predictor
ENSG00000049283	predictor
ENSG00000049323	predictor
ENSG00000049449	predictor
ENSG00000049540	predictor
ENSG00000049541	predictor
ENSG00000049618	predictor
ENSG00000049656	predictor
ENSG00000049759	predictor
ENSG00000049768	predictor
ENSG00000049769	predictor
ENSG00000049860	predictor
ENSG00000049883	predictor
ENSG00000050030	predictor
ENSG00000050130	predictor
ENSG00000050165	predictor
ENSG00000050327	predictor
ENSG00000050344	predictor
ENSG00000050393	predictor
ENSG00000050405	predictor
ENSG00000050426	predictor
ENSG00000050438	predictor
ENSG00000050628	predictor
ENSG00000050730	predictor
ENSG00000050748	predictor
ENSG00000050767	predictor
ENSG00000050820	predictor
ENSG00000051009	predictor
ENSG00000051108	predictor
ENSG00000051128	predictor
ENSG00000051180	predictor
ENSG00000051341	predictor
ENSG00000051382	predictor
ENSG00000051523	predictor
ENSG00000051596	predictor
ENSG00000051620	predictor
ENSG00000051825	predictor
ENSG00000052126	predictor
ENSG00000052344	predictor
ENSG00000052723	predictor
ENSG00000052749	predictor
ENSG00000052795	predictor
ENSG00000052802	predictor
